CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,Added,Deleted,Modified,Total Change,ALTER
10,0,13,4,15,11,2,219,2,84,34,5,11,2,18,YES
1,0,0,0,2,1,1,36,1,0,4,0,0,0,0,NO
0,0,0,0,5,4,1,177,1,0,24,0,0,0,0,NO
1,0,0,0,1,0,1,47,1,0,5,0,0,0,0,NO
6,0,2,0,3,1,2,51,1,0,6,0,0,0,0,NO
15,0,0,0,2,1,1,88,1,0,4,0,0,0,0,NO
11,0,0,0,2,1,1,73,1,0,4,0,0,0,0,NO
6,0,0,0,5,4,1,77,1,0,15,0,0,0,0,NO
14,0,0,0,17,16,1,288,1,0,61,24,0,0,24,YES
4,0,2,0,3,1,2,50,1,0,6,0,0,0,0,NO
3,0,2,1,3,1,2,49,1,66,8,0,0,0,0,NO
4,8,9,1,9,0,1,43,1,0,9,0,0,0,0,NO
10,0,2,0,11,0,1,48,2,0,2,0,0,0,0,NO
7,0,2,0,11,0,1,24,2,0,3,0,0,0,0,NO
1,0,2,0,6,0,2,27,2,0,3,0,0,0,0,NO
4,0,6,3,6,0,6,34,1,55,6,0,0,0,0,NO
0,0,2,0,6,0,2,35,2,0,4,0,0,0,0,NO
0,0,2,0,6,0,2,28,2,0,4,0,0,0,0,NO
2,0,2,0,8,0,2,21,3,0,3,0,0,0,0,NO
5,0,2,0,11,0,1,41,2,0,5,0,0,0,0,NO
0,1,2,0,6,0,2,28,2,0,4,0,0,0,0,NO
8,0,2,0,11,0,1,24,2,0,3,0,0,0,0,NO
10,0,2,0,11,0,1,70,2,0,8,0,0,0,0,NO
6,0,2,0,11,0,1,29,2,0,2,0,0,0,0,NO
1,0,2,0,6,0,2,28,2,0,3,0,0,0,0,NO
3,0,0,0,3,0,3,80,1,0,13,0,0,0,0,NO
18,0,3,1,5,1,2,81,2,33,9,5,11,13,29,YES
14,0,13,8,15,12,1,259,2,63,35,0,1,0,1,YES
0,5,4,2,4,0,4,31,1,37,5,0,0,0,0,NO
