CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ADDED,DELETED,MODIFIED,TOTAL CHANGE,ALTER
1,0,2,1,2,0,2,14,1,0,3,0,0,0,0,NO
1,0,2,1,2,0,2,14,1,0,3,0,0,0,0,NO
1,0,2,1,2,0,2,14,1,0,3,0,0,0,0,NO
2,0,8,9,9,0,4,46,1,100,5,0,0,0,0,NO
5,0,4,3,4,0,4,74,1,33,10,0,0,0,0,NO
0,0,2,2,2,0,2,23,2,0,4,0,0,0,0,NO
6,0,4,3,14,0,4,71,2,66,11,0,0,0,0,NO
4,0,1,0,1,0,1,16,1,0,1,0,0,0,0,NO
6,0,2,3,12,0,2,197,2,50,6,0,0,0,0,NO
2,0,2,1,2,0,2,20,1,50,3,0,0,0,0,NO
9,0,1,0,1,0,1,72,2,0,9,0,0,0,0,NO
2,0,2,0,2,0,2,67,1,0,19,0,0,0,0,NO
3,0,13,7,14,0,14,101,1,83,19,0,0,0,0,NO
7,0,8,24,11,0,9,293,2,90,26,0,0,0,0,NO
0,0,1,0,5,1,4,118,1,0,25,0,0,0,0,NO
7,0,13,13,13,3,10,156,1,82,30,0,0,0,0,NO
6,0,6,5,6,0,6,78,1,66,16,0,0,0,0,NO
3,0,1,1,11,0,1,43,2,0,3,0,0,0,0,NO
5,0,1,0,1,0,1,26,1,0,3,0,0,0,0,NO
7,0,3,4,14,0,4,438,2,68,9,0,0,0,0,NO
1,0,2,3,2,0,2,25,1,0,5,0,0,0,0,NO
3,0,3,5,3,0,3,32,2,46,3,0,0,0,0,NO
1,0,8,3,8,0,8,63,2,62,17,0,0,0,0,NO
3,0,1,0,1,0,1,16,1,0,3,0,0,0,0,NO
0,0,2,1,2,0,2,12,1,0,2,0,0,0,0,NO
2,0,3,1,3,0,3,16,2,33,3,0,0,0,0,NO
3,0,2,3,2,0,2,28,1,0,2,0,0,0,0,NO
2,0,2,4,2,0,2,31,1,0,4,0,0,0,0,NO
1,0,4,2,4,0,4,22,1,0,4,0,0,0,0,NO
11,0,1,0,1,0,1,56,1,0,4,0,0,0,0,NO
4,0,2,2,2,0,2,34,2,25,7,0,0,0,0,NO
6,0,1,0,1,0,1,47,1,0,9,0,0,0,0,NO
4,0,2,0,12,0,2,40,2,0,3,0,0,0,0,NO
5,0,1,0,1,0,1,23,1,0,1,0,0,0,0,NO
9,0,12,3,12,3,9,186,1,52,44,0,0,0,0,NO
2,0,6,4,6,0,6,47,1,50,9,0,0,0,0,NO
2,5,10,7,10,0,10,84,1,73,16,0,0,0,0,NO
0,0,2,2,2,0,2,30,2,25,6,0,0,0,0,NO
5,0,23,56,23,0,3,514,2,92,105,0,0,0,0,NO
1,0,3,2,3,0,2,27,2,77,5,0,0,0,0,NO
7,0,15,28,16,0,3,218,2,86,37,0,0,0,0,NO
3,0,10,10,10,0,3,313,2,61,58,0,0,0,0,NO
3,0,4,5,4,0,0,50,2,30,11,0,0,0,0,NO
0,3,15,4,15,0,13,60,1,90,19,0,0,0,0,NO
0,0,4,1,19,0,3,13,2,50,4,0,0,0,0,NO
0,0,5,4,20,0,4,31,2,65,11,0,0,0,0,NO
0,0,7,6,22,0,6,27,2,73,7,0,0,0,0,NO
3,0,3,6,3,0,2,82,2,38,14,0,0,0,0,NO
0,0,0,0,1,0,1,64,1,0,8,0,0,0,0,NO
6,0,41,14,41,0,41,365,1,90,92,0,0,0,0,NO
2,0,5,3,5,0,5,22,1,60,5,0,0,0,0,NO
8,0,7,6,20,2,5,135,3,57,19,0,0,0,0,NO
3,3,21,5,21,0,21,169,2,80,40,0,0,0,0,NO
19,1,11,3,12,0,12,455,2,68,90,0,0,0,0,NO
7,0,9,4,9,0,8,214,1,82,13,0,0,0,0,NO
4,0,6,1,27,0,6,40,3,66,9,0,0,0,0,NO
15,0,11,5,30,4,7,390,3,89,29,0,0,0,0,NO
9,0,0,0,38,34,4,1117,1,0,227,0,0,0,0,NO
12,0,21,2,25,2,23,391,1,84,64,0,0,0,0,NO
6,0,18,3,18,0,18,90,1,66,24,0,0,0,0,NO
6,0,12,0,31,0,12,119,3,0,30,0,0,0,0,NO
2,0,7,4,7,1,6,117,1,46,25,0,0,0,0,NO
7,0,9,4,9,0,8,268,1,82,13,0,0,0,0,NO
4,0,4,3,4,0,4,320,1,91,7,0,0,0,0,NO
1,0,6,1,6,0,6,23,1,66,7,0,0,0,0,NO
4,10,19,5,19,0,19,189,2,68,35,0,0,0,0,NO
0,0,5,2,5,0,5,43,2,60,10,0,0,0,0,NO
8,0,24,5,27,0,27,236,1,73,58,0,0,0,0,NO
7,0,23,5,26,0,26,189,1,76,35,0,0,0,0,NO
16,0,7,17,7,2,5,385,2,78,9,0,0,0,0,NO
14,0,12,2,31,6,6,871,3,88,33,0,0,0,0,NO
19,0,7,29,7,2,5,585,2,79,8,0,0,0,0,NO
2,0,6,1,6,0,6,286,1,66,8,0,0,0,0,NO
6,0,18,4,18,0,18,203,1,63,46,0,0,0,0,NO
8,0,11,5,11,0,11,90,1,78,14,0,0,0,0,NO
15,0,14,4,33,6,8,777,3,85,48,0,0,0,0,NO
2,0,15,1,15,0,15,58,1,33,20,0,0,0,0,NO
2,0,4,1,23,0,4,29,3,25,8,0,0,0,0,NO
12,0,9,5,9,4,5,399,1,64,18,0,0,0,0,NO
4,0,15,3,15,0,15,97,1,62,26,0,0,0,0,NO
2,0,1,0,1,0,1,6,2,0,1,0,0,0,0,NO
10,0,13,5,32,4,9,495,3,82,29,0,0,0,0,NO
2,0,6,1,6,0,6,195,1,66,8,0,0,0,0,NO
0,0,3,2,3,0,3,28,2,50,3,0,0,0,0,NO
3,0,16,5,37,1,15,133,3,87,34,0,0,0,0,NO
16,0,19,5,38,9,10,716,3,88,57,0,0,0,0,NO
12,0,7,2,7,1,6,230,1,85,18,0,0,0,0,NO
3,0,21,7,21,0,21,153,1,70,40,0,0,0,0,NO
4,0,14,3,14,0,14,98,1,64,24,0,0,0,0,NO
10,0,11,3,30,5,6,456,3,72,27,0,0,0,0,NO
7,0,8,2,27,4,4,344,3,81,13,0,0,0,0,NO
1,0,12,2,12,0,12,52,1,45,16,0,0,0,0,NO
5,0,7,5,26,2,5,163,3,88,14,0,0,0,0,NO
9,0,5,1,5,1,4,568,1,60,17,0,0,0,0,NO
8,0,13,9,13,0,13,243,1,84,69,0,0,0,0,NO
5,0,10,0,48,0,10,271,3,0,12,0,0,0,0,NO
1,0,1,0,15,0,1,8,3,0,1,0,0,0,0,NO
4,0,8,2,44,1,7,103,2,77,24,0,0,0,0,NO
13,0,0,0,4,2,2,86,1,0,20,0,0,0,0,NO
7,0,1,0,40,2,38,657,2,95,130,0,0,0,0,NO
1,0,1,0,6,0,6,93,2,66,18,0,0,0,0,NO
2,0,18,5,39,0,18,109,3,83,32,0,0,0,0,NO
1,0,21,8,21,0,21,109,1,85,23,0,0,0,0,NO
11,0,37,24,39,2,37,1380,1,90,157,0,0,0,0,NO
1,0,1,0,17,7,10,608,1,0,59,0,0,0,0,NO
0,0,2,4,3,0,3,51,2,50,8,0,0,0,0,NO
1,0,4,2,4,0,4,21,1,50,4,0,0,0,0,NO
1,0,42,2,42,0,42,606,1,72,130,0,0,0,0,NO
2,0,43,2,43,1,42,1548,1,50,203,0,0,0,0,NO
9,0,17,28,19,3,16,975,2,91,53,0,0,0,0,NO
0,0,12,8,12,0,12,178,1,58,33,0,0,0,0,NO
3,0,14,8,14,0,14,124,1,70,18,0,0,0,0,NO
0,0,8,12,8,0,7,208,2,71,18,0,0,0,0,NO
1,0,3,0,3,0,2,35,2,0,3,0,0,0,0,NO
1,0,2,35,2,0,2,831,2,91,2,0,0,0,0,NO
0,0,8,3,8,0,8,339,1,56,57,0,0,0,0,NO
2,0,7,6,7,0,7,132,1,52,17,0,0,0,0,NO
1,0,12,17,12,0,12,468,2,91,12,0,0,0,0,NO
0,0,6,3,6,4,2,256,1,83,23,0,0,0,0,NO
0,0,3,1,3,0,3,52,1,33,8,0,0,0,0,NO
0,0,3,2,3,0,3,49,1,33,8,0,0,0,0,NO
