CBO,NOC,WMC,RFC,SLOC,DIT,LCOM,Change
4,0,2,15,10,0,0,no
27,0,12,25,142,0,91,yes
4,0,2,15,37,0,0,yes
14,0,2,20,42,1,83,yes
2,0,19,32,69,0,0,no
13,0,3,26,30,1,33,no
3,0,1,14,23,0,0,no
3,0,1,14,19,0,0,no
11,0,5,18,59,0,0,yes
24,0,10,23,140,0,74,yes
2,0,3,16,23,0,0,yes
2,0,4,17,29,1,0,no
5,0,5,18,28,0,40,yes
4,0,6,19,32,0,55,yes
4,0,9,53,69,0,55,no
12,0,4,30,52,2,46,no
33,0,20,46,391,2,83,yes
1,0,2,46,14,0,0,no
1,0,2,46,14,0,0,no
5,0,4,17,62,0,58,yes
4,0,4,17,23,0,66,yes
17,0,10,23,110,0,70,yes
6,0,4,17,35,1,0,no
1,0,1,45,8,0,0,no
5,0,5,18,36,0,0,no
1,0,1,45,8,0,0,no
3,0,1,14,7,0,0,no
2,0,3,16,16,1,0,no
3,3,4,48,23,0,25,no
17,0,5,31,115,2,80,no
9,0,2,18,29,1,0,no
5,0,2,18,22,1,0,yes
6,0,4,30,31,2,50,no
2,0,3,51,20,1,33,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
2,1,1,14,8,0,0,no
8,0,2,15,25,1,0,no
69,0,42,55,966,0,94,yes
49,0,23,36,132,0,0,no
3,0,1,14,7,0,0,no
7,0,2,15,24,1,0,no
3,0,4,17,28,0,50,no
14,0,36,49,289,0,94,yes
8,0,14,27,116,0,77,yes
8,0,11,24,92,0,80,no
15,0,15,28,132,0,75,no
6,0,6,19,41,0,50,no
5,0,4,22,32,1,0,no
10,1,35,48,195,0,0,no
10,0,8,52,95,0,25,no
5,0,17,30,86,0,84,no
5,0,9,22,56,0,77,yes
4,0,5,18,93,0,0,no
5,0,7,20,46,0,71,yes
2,0,2,21,12,1,0,no
1,0,1,19,8,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
8,0,1,14,38,0,0,yes
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
10,0,2,15,156,0,50,yes
6,0,3,262,108,2,0,yes
14,0,4,17,51,1,50,yes
18,1,22,35,307,1,36,yes
19,1,10,23,172,0,78,yes
5,0,2,15,19,1,0,no
6,0,5,18,36,0,66,yes
4,0,1,14,12,1,0,no
6,0,2,15,29,0,0,no
8,0,4,17,42,0,37,no
11,0,3,26,384,1,100,yes
12,0,6,19,346,0,63,yes
10,4,3,16,40,0,33,no
15,0,5,18,69,0,66,yes
10,0,2,18,52,1,0,no
11,0,2,18,47,1,0,no
6,0,2,18,26,1,0,no
5,0,2,18,22,1,0,no
28,0,18,53,350,2,83,yes
1,0,0,13,3,0,0,no
1,0,1,14,7,0,0,no
1,0,1,14,7,0,0,no
2,0,3,16,24,0,33,no
1,0,1,14,7,0,0,no
5,0,2,15,29,0,50,yes
10,0,6,19,79,0,0,yes
9,0,3,16,67,0,0,yes
1,0,4,52,27,0,25,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
2,0,1,14,9,0,0,no
0,0,4,17,22,1,0,no
4,0,1,14,57,0,0,no
5,0,3,262,46,2,0,yes
4,0,1,14,78,0,0,no
6,0,3,262,67,2,0,yes
9,6,41,259,587,1,96,yes
8,1,205,218,2552,0,0,yes
0,0,4,17,22,1,0,yes
9,0,3,16,70,0,66,no
1,0,1,260,7,2,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
7,0,3,16,55,0,33,yes
4,0,3,16,40,0,33,no
4,0,1,14,27,0,0,no
2,0,1,14,32,0,0,no
5,0,7,20,47,1,57,no
9,0,1,14,98,0,0,no
8,0,3,262,72,2,33,yes
4,0,2,15,35,0,0,no
3,0,1,14,25,0,0,no
4,0,7,20,153,0,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
11,2,5,18,42,1,53,yes
11,0,3,16,109,0,33,no
13,0,7,20,154,0,0,yes
2,0,2,15,14,0,25,no
5,0,10,28,120,2,0,no
4,0,7,20,103,0,0,no
8,0,2,15,69,0,0,no
5,0,13,31,106,2,0,no
11,0,15,28,146,0,84,yes
4,0,1,14,174,0,0,no
7,0,6,265,151,2,0,yes
14,0,4,17,89,0,50,yes
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
1,0,3,47,19,0,0,no
1,0,6,50,41,0,33,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
0,0,4,17,22,1,0,no
10,0,2,15,38,0,25,yes
20,0,33,46,807,0,96,yes
