CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
4,0,1,10,10,1,9,87,1,0,10,NO
3,0,3,13,13,0,13,56,1,74,16,NO
7,0,3,13,14,5,9,129,1,54,30,NO
6,0,0,2,24,0,2,14,3,0,4,NO
6,0,0,5,93,0,5,21,3,0,5,NO
3,0,0,2,42,0,2,15,2,0,3,NO
2,0,4,11,115,2,8,104,2,70,27,NO
3,0,0,2,24,0,2,18,3,0,4,NO
4,0,0,3,34,0,0,13,2,0,3,NO
0,0,0,1,1,1,0,3,1,100,1,NO
16,0,0,15,16,4,8,244,1,100,41,YES
9,0,0,2,35,0,3,25,2,0,6,NO
8,0,0,3,25,1,2,27,3,0,6,NO
0,0,2,7,7,0,7,28,1,28,7,NO
4,0,0,3,19,0,2,17,2,0,4,NO
1,0,5,8,8,0,8,39,2,75,8,NO
50,2,11,80,88,9,61,836,2,95,156,YES
4,0,2,10,10,1,9,50,1,65,10,NO
15,3,10,40,40,1,38,194,1,90,53,YES
5,0,0,0,3,1,2,71,1,0,21,NO
10,0,3,8,8,0,8,134,1,75,9,NO
7,0,4,14,14,0,11,84,1,73,17,NO
18,0,4,8,8,1,7,89,1,68,13,NO
14,0,0,5,5,4,1,130,1,0,20,NO
5,0,0,2,24,0,2,12,3,0,2,NO
41,0,1,29,59,13,13,815,2,96,113,NO
5,0,0,2,24,0,2,12,3,0,2,NO
7,0,1,4,26,2,2,54,3,50,9,YES
0,0,0,3,3,2,0,38,1,0,9,NO
5,0,0,3,25,0,3,22,3,0,6,NO
9,0,0,2,24,0,2,24,3,0,5,NO
0,0,0,0,0,0,0,3,1,0,0,NO
69,0,1,57,145,16,39,864,3,94,156,YES
15,0,4,8,48,0,8,92,2,77,17,YES
3,0,0,2,24,0,2,11,3,0,2,NO
5,0,0,2,24,0,2,16,3,0,2,NO
4,0,0,2,24,0,2,10,3,0,2,NO
9,0,0,3,25,1,2,54,3,0,11,YES
3,0,0,2,24,0,2,9,3,0,2,NO
3,0,0,2,24,0,2,9,3,0,2,NO
9,0,3,4,26,2,2,71,3,75,16,NO
4,0,0,2,24,0,2,11,3,0,2,NO
6,0,1,3,3,1,2,37,1,33,8,NO
4,0,0,2,24,0,2,10,3,0,2,NO
5,0,1,3,25,1,2,20,3,33,5,NO
5,0,1,3,25,1,2,20,3,33,5,NO
2,0,2,2,2,0,2,77,1,25,5,NO
4,0,1,15,15,0,15,131,1,6,15,NO
10,0,2,3,3,1,2,60,1,33,16,NO
4,0,2,12,12,0,12,48,1,50,13,NO
1,0,2,7,7,0,7,26,1,35,7,NO
10,0,1,11,11,3,7,219,1,63,16,NO
1,0,5,8,8,0,8,38,2,70,8,NO
1,0,3,1,1,0,1,11,1,0,1,NO
2,0,2,9,9,1,3,54,1,55,14,NO
6,0,2,7,38,1,3,46,3,31,8,NO
11,0,3,13,13,0,12,131,1,92,37,YES
25,2,10,104,104,13,82,547,1,93,162,NO
1,0,7,1,1,0,1,20,1,0,1,NO
2,0,3,14,15,4,11,114,1,62,25,NO
5,0,1,16,16,1,15,138,1,18,16,NO
20,0,9,13,14,7,4,156,1,80,37,NO
0,0,2,7,7,0,7,40,1,50,8,NO
3,0,2,5,22,0,4,40,2,42,9,NO
4,0,0,3,19,0,2,17,2,0,4,NO
6,0,6,12,12,0,12,62,1,76,15,NO
6,0,0,3,25,0,3,24,3,0,4,NO
4,0,2,11,11,0,10,41,1,54,11,NO
2,0,4,7,10,2,8,128,1,67,40,NO
1,4,1,1,1,0,1,149,1,0,1,NO
8,0,1,4,41,0,7,61,2,90,17,NO
0,0,0,1,1,1,0,3,1,100,1,NO
5,0,0,2,24,0,2,15,3,0,2,NO
4,0,0,2,24,0,2,18,3,0,3,NO
6,1,2,4,5,0,4,25,1,50,5,NO
9,0,2,18,25,1,19,93,2,61,23,NO
3,2,1,8,8,0,7,65,1,75,13,NO
1,0,0,2,24,0,2,9,3,0,2,NO
2,0,0,2,24,0,2,11,3,0,2,NO
18,0,11,36,51,1,40,236,2,93,60,NO
3,0,0,3,60,0,3,19,3,0,4,NO
1,0,0,0,2,0,2,9,1,0,2,NO
7,0,1,2,27,1,2,77,3,60,6,NO
19,1,3,23,83,4,22,157,3,92,31,YES
4,0,1,5,27,0,5,29,3,60,6,NO
8,0,0,2,24,0,2,32,3,0,6,NO
4,0,0,2,29,0,1,11,4,0,2,NO
3,0,0,2,29,0,1,11,4,0,2,NO
6,0,2,5,27,0,5,58,3,60,9,YES
20,3,8,49,57,0,47,322,2,92,77,YES
5,0,1,2,24,0,2,21,3,0,4,NO
3,0,0,2,24,0,1,19,3,0,4,NO
23,14,0,30,31,2,12,360,1,0,63,NO
1,3,0,2,24,0,2,9,3,0,2,NO
2,0,1,3,27,0,3,19,4,0,4,NO
1,0,0,3,27,0,3,16,4,0,3,NO
5,1,0,2,2,0,2,29,1,0,8,NO
4,0,0,1,1,0,1,13,1,0,2,NO
1,0,0,3,25,0,3,13,3,0,3,NO
3,2,1,6,6,0,6,33,1,0,9,NO
8,0,0,3,3,1,1,49,1,0,6,NO
15,1,1,6,9,2,7,70,1,66,13,NO
3,1,3,8,10,1,9,71,1,78,14,NO
6,0,3,5,5,1,3,24,1,53,5,NO
6,0,3,5,5,1,3,24,1,53,5,NO
6,0,3,5,5,1,3,23,1,53,5,NO
11,0,0,6,15,1,5,68,2,0,8,NO
4,0,0,2,29,0,1,13,4,0,2,NO
0,0,0,0,2,0,2,12,1,0,2,NO
6,0,1,5,32,0,3,24,4,60,5,NO
7,0,0,3,26,1,3,22,3,50,5,NO
3,0,1,3,30,0,2,15,4,33,3,NO
3,0,1,3,30,0,2,15,4,33,3,NO
7,0,2,5,32,0,3,26,4,50,6,NO
6,0,1,5,32,0,3,24,4,60,5,NO
26,0,0,34,84,4,29,793,2,0,54,YES
10,0,1,3,30,0,2,19,4,33,3,NO
10,0,1,3,30,0,2,20,4,33,3,NO
6,0,0,2,29,0,1,20,4,0,3,NO
4,0,1,2,29,0,1,12,4,0,2,NO
9,0,0,3,30,1,1,27,4,0,5,NO
4,0,0,2,29,0,1,10,4,0,2,NO
11,0,0,5,36,0,2,31,2,0,7,YES
6,0,1,5,32,0,3,24,4,60,5,NO
3,0,6,13,27,0,27,109,1,89,39,NO
2,0,2,5,11,0,11,47,1,72,16,NO
25,0,1,14,14,5,9,446,1,64,73,NO
28,1,6,43,50,17,33,540,1,92,123,NO
6,0,11,27,52,0,51,243,1,94,78,NO
3,0,4,11,11,1,10,74,1,49,22,NO
5,0,0,2,24,0,2,14,3,0,2,NO
25,0,2,17,27,2,6,277,2,77,28,NO
5,0,0,4,4,1,3,26,1,0,6,NO
11,0,1,3,3,2,0,49,1,33,6,NO
10,0,4,8,8,0,4,113,1,50,24,NO
7,0,1,5,27,2,3,47,3,60,11,NO
1,0,1,2,24,0,2,30,3,0,3,NO
4,0,1,3,25,0,3,20,3,0,3,NO
2,0,1,3,25,0,3,22,3,0,4,NO
7,0,1,3,3,0,3,29,1,66,7,NO
16,1,2,7,10,2,7,101,1,95,12,NO
1,0,0,0,8,0,4,23,2,0,7,NO
9,0,2,3,3,0,3,37,1,33,6,NO
9,0,1,3,3,0,3,28,1,33,6,NO
7,0,2,22,22,0,22,216,1,38,22,NO
1,0,1,2,2,0,2,20,1,0,5,NO
4,0,0,0,1,0,1,32,1,0,1,NO
3,0,1,1,1,0,1,10,1,0,1,NO
1,0,1,2,2,0,2,35,1,0,11,NO
16,0,10,6,6,2,1,228,1,43,7,NO
3,0,3,5,5,0,5,27,1,46,6,NO
9,0,2,6,6,4,1,46,1,41,12,NO
5,0,0,1,1,0,0,129,1,0,1,NO
24,0,3,8,9,5,2,171,1,80,11,NO
14,0,6,5,5,1,2,113,1,50,9,NO
1,0,4,5,6,0,5,39,1,54,8,NO
16,0,8,7,9,6,1,168,1,66,25,NO
10,0,7,34,34,6,23,206,1,82,68,NO
2,0,2,1,1,0,1,15,1,0,1,NO
11,0,1,4,4,2,1,78,1,50,21,NO
15,0,12,55,55,16,37,388,1,88,95,NO
1,0,1,1,2,0,2,10,1,50,2,NO
8,0,25,20,20,17,2,374,1,87,33,NO
7,0,3,15,16,0,16,302,1,6,30,NO
1,3,1,3,25,0,3,17,3,0,4,NO
1,0,4,4,4,2,2,31,2,43,4,NO
6,0,0,2,27,0,1,129,4,0,9,NO
3,0,6,11,11,3,7,83,2,75,17,NO
7,0,2,4,4,2,2,64,2,75,8,NO
4,1,1,3,28,0,2,22,4,33,4,NO
11,0,7,8,10,1,7,139,1,77,28,NO
1,0,0,1,29,0,0,6,5,0,1,NO
5,0,0,2,27,0,1,18,4,0,3,NO
1,0,2,2,2,0,2,14,2,0,2,NO
8,0,3,8,10,4,6,121,1,83,21,NO
13,0,0,8,39,1,4,71,2,0,16,YES
2,0,1,2,2,0,1,15,1,0,5,NO
5,0,3,15,15,0,7,253,1,60,29,NO
19,1,3,25,28,4,21,296,1,91,44,YES
10,0,0,14,14,1,13,64,1,0,19,NO
2,0,1,2,5,0,5,28,1,60,7,NO
34,0,0,22,56,5,13,455,2,0,59,NO
3,0,0,3,5,1,2,29,2,0,7,NO
14,0,0,1,1,0,1,30,1,0,3,NO
29,0,11,29,31,3,20,253,1,89,56,NO
8,2,0,3,25,0,2,118,3,0,3,NO
10,0,1,3,32,2,2,35,4,40,8,NO
0,0,1,2,2,0,2,28,2,0,5,NO
6,0,2,2,3,0,2,87,2,50,3,NO
7,0,0,2,24,0,1,29,3,0,5,NO
4,0,0,2,29,0,1,12,4,0,2,NO
4,0,1,1,1,0,1,12,1,0,2,NO
1,0,1,3,28,0,3,18,4,33,6,NO
8,0,0,3,28,0,3,36,4,0,5,NO
9,0,0,3,28,0,3,48,4,0,8,NO
10,0,0,2,24,0,1,24,3,0,3,NO
41,0,1,12,41,0,12,420,2,84,23,NO
12,0,1,5,5,2,3,55,1,40,11,NO
18,0,4,19,19,4,15,193,1,80,25,NO
17,0,0,2,24,0,2,62,3,0,8,NO
0,0,1,5,5,0,4,19,1,19,5,NO
8,0,0,2,24,0,2,17,3,0,3,NO
0,0,0,1,29,0,1,6,4,0,1,NO
9,0,6,5,5,2,3,90,1,63,5,NO
8,0,6,5,5,2,3,90,1,63,5,NO
8,0,6,5,5,1,4,90,1,63,5,NO
7,0,3,2,2,0,2,37,1,33,2,NO
13,0,4,5,5,2,3,76,1,55,5,NO
5,27,3,5,5,0,2,47,1,33,9,NO
8,0,3,2,2,0,2,38,1,33,2,NO
7,0,3,2,2,0,2,43,1,33,2,NO
8,0,3,2,2,0,2,45,1,33,2,NO
6,0,3,2,2,0,2,43,1,33,2,NO
0,0,0,1,3,1,2,14,1,0,4,NO
5,0,3,2,2,0,2,40,1,33,2,NO
5,0,3,2,2,0,2,40,1,33,2,NO
6,0,3,2,2,0,2,40,1,33,2,NO
7,0,3,2,2,0,2,46,1,33,2,NO
5,0,3,2,2,0,2,40,1,33,2,NO
9,0,3,2,2,0,2,41,1,33,2,NO
2,0,1,3,3,0,3,12,1,33,3,NO
7,0,3,2,2,0,2,36,1,33,2,NO
7,0,3,2,2,0,2,37,1,33,2,NO
7,0,3,2,2,0,2,37,1,33,2,NO
2,0,1,3,3,0,3,12,1,33,3,NO
2,0,0,3,3,0,3,10,1,0,3,NO
7,0,3,2,2,0,2,42,1,33,2,NO
7,0,3,2,2,0,2,39,1,33,2,NO
5,0,3,2,2,0,2,36,1,33,2,NO
9,0,3,2,2,0,2,42,1,33,3,NO
5,0,3,2,2,0,2,39,1,33,2,NO
11,0,6,3,3,1,2,78,1,44,3,NO
27,0,11,10,10,7,3,193,1,80,18,NO
37,0,2,6,6,4,2,146,2,66,10,YES
7,0,1,6,28,0,6,49,3,33,7,NO
3,0,1,7,29,1,6,49,3,42,10,NO
8,0,1,5,21,0,4,38,2,33,10,NO
9,0,1,5,21,0,4,39,2,33,10,NO
4,0,0,0,2,0,2,8,1,0,2,NO
4,0,0,2,42,0,1,11,2,0,2,NO
1,0,1,3,3,0,3,14,1,0,3,NO
0,0,1,4,4,0,4,30,1,0,8,NO
1,0,1,6,7,0,7,44,1,14,13,NO
2,4,1,6,6,0,6,25,1,50,8,NO
1,0,2,5,13,0,9,40,2,72,12,NO
6,0,1,6,12,4,2,89,2,50,25,NO
0,0,1,3,3,0,3,15,1,0,3,NO
8,0,4,8,24,2,3,58,2,61,12,NO
9,1,3,8,24,0,2,51,2,66,12,NO
6,0,2,9,9,1,8,56,1,44,13,NO
7,0,0,3,30,0,2,30,4,0,6,NO
3,0,0,2,24,0,2,9,3,0,2,NO
5,0,1,2,24,0,2,19,3,0,3,NO
3,0,0,2,24,0,2,9,3,0,2,NO
7,4,5,13,13,0,7,200,1,81,21,NO
1,0,0,1,1,0,1,7,2,0,1,NO
1,0,0,1,1,0,1,8,2,0,2,NO
1,0,0,1,1,0,1,7,2,0,1,NO
1,0,0,1,1,0,1,7,2,0,1,NO
10,2,5,6,19,0,4,253,2,70,9,NO
15,0,5,12,25,0,12,219,2,76,20,NO
0,0,5,13,13,0,12,103,1,70,28,NO
0,0,1,2,2,0,2,15,1,0,3,NO
5,0,1,2,24,0,2,15,3,0,2,NO
52,0,6,34,71,8,27,913,2,94,108,YES
4,0,0,2,24,0,2,10,3,0,2,NO
6,0,1,3,25,0,3,64,3,0,11,NO
3,0,1,5,27,0,5,39,3,40,9,NO
3,0,0,2,29,0,1,28,4,0,2,NO
11,0,0,6,28,4,2,109,3,0,24,NO
11,0,4,6,35,2,4,119,4,79,18,NO
1,0,0,1,1,0,1,9,1,0,1,NO
4,0,0,2,29,0,1,14,4,0,3,NO
8,0,4,8,24,2,4,57,2,61,12,NO
9,0,2,10,26,3,5,61,2,54,14,NO
22,0,0,8,8,1,7,194,1,0,28,NO
8,0,3,9,40,2,4,83,3,53,14,NO
20,0,1,13,16,3,13,161,1,93,43,NO
4,0,0,4,29,0,0,24,3,0,6,NO
2,2,2,4,4,0,4,35,1,25,8,NO
8,0,1,5,32,1,3,34,4,60,6,NO
1,0,0,1,4,0,4,21,1,0,6,NO
28,1,3,32,36,2,34,325,1,88,60,NO
7,0,2,6,33,1,4,62,4,58,12,NO
0,0,0,4,4,0,4,14,2,0,4,NO
8,0,0,5,5,4,1,79,1,60,6,NO
4,2,5,9,9,1,8,72,1,71,15,NO
7,2,1,5,21,0,4,34,2,50,8,NO
13,0,2,14,14,0,14,84,1,92,20,YES
5,0,0,4,29,0,2,22,4,0,4,NO
6,1,0,4,25,0,2,24,3,0,4,NO
5,0,0,4,29,0,2,22,4,0,4,NO
6,1,0,4,25,0,2,24,3,0,4,NO
3,0,0,0,1,0,1,6,1,0,1,NO
1,0,0,2,24,0,1,10,3,0,2,NO
27,4,9,46,52,9,37,596,1,94,92,YES
3,0,0,4,26,0,4,18,3,0,4,NO
1,0,1,4,26,0,3,18,3,25,4,NO
1,0,1,4,26,0,3,18,3,25,4,NO
4,2,1,6,28,0,5,29,3,66,7,NO
1,0,0,3,3,0,3,37,1,0,8,NO
0,0,0,0,0,0,0,3,2,0,0,NO
6,0,9,6,10,2,7,109,1,83,18,NO
4,0,5,2,2,0,2,77,2,30,7,NO
4,0,0,1,1,0,1,11,1,0,3,NO
0,0,0,4,12,0,3,16,2,0,4,NO
23,0,0,3,25,1,2,117,3,0,18,NO
9,0,8,9,9,7,2,233,2,79,16,YES
10,0,0,2,24,0,2,31,3,0,6,NO
13,0,0,4,26,1,3,79,3,0,17,NO
12,0,0,4,26,1,3,51,3,0,11,NO
16,0,0,2,24,0,2,40,3,0,7,NO
13,0,0,2,24,0,2,33,3,0,6,NO
4,1,5,8,8,3,4,127,1,62,24,NO
17,0,8,24,25,15,10,252,1,84,66,YES
57,0,1,39,78,12,27,762,2,95,137,NO
4,0,0,3,25,0,3,13,3,0,3,NO
2,0,1,3,25,0,3,14,3,33,3,NO
5,0,0,3,25,0,3,14,3,0,3,NO
7,0,0,3,25,0,3,25,3,0,5,NO
4,0,0,4,26,1,3,17,3,0,4,NO
4,0,0,2,24,0,2,16,3,0,3,NO
6,0,0,3,25,0,3,31,3,0,5,NO
4,0,0,3,25,1,2,26,3,0,6,NO
4,0,0,2,24,0,2,10,3,0,2,NO
1,0,3,5,5,0,5,33,1,53,7,NO
18,1,1,30,32,10,18,412,1,90,89,YES
3,0,5,16,24,15,9,195,1,91,41,YES
6,0,0,0,2,1,1,26,1,0,4,YES
0,0,0,0,4,0,0,26,1,0,6,NO
7,1,20,64,64,15,48,378,1,94,102,NO
17,0,2,13,19,7,12,189,1,84,50,NO
1,0,1,11,67,0,11,66,2,54,14,NO
14,0,4,21,73,0,20,167,2,82,38,YES
1,0,0,2,59,0,2,10,3,0,2,NO
35,0,0,0,1,0,1,47,1,0,1,NO
6,0,1,8,8,1,7,57,1,62,10,NO
5,0,3,13,13,4,8,203,2,94,22,NO
7,0,5,21,78,7,15,262,2,88,37,YES
20,0,9,27,79,3,23,313,2,82,52,YES
4,0,0,1,1,0,1,87,1,0,12,NO
2,0,0,0,1,0,0,131,1,0,20,YES
1,0,0,2,2,0,0,8,2,0,2,NO
56,0,7,15,18,6,12,329,1,90,37,YES
6,0,3,5,6,2,4,101,2,83,10,NO
2,0,3,2,2,0,2,35,1,25,4,NO
32,0,2,38,38,19,17,373,1,91,81,NO
12,0,6,28,30,14,15,381,1,85,69,NO
11,0,1,5,5,1,3,63,1,60,14,YES
3,0,0,2,2,1,1,13,1,0,3,NO
2,0,0,2,24,0,1,10,3,0,2,NO
2,0,0,2,24,0,1,10,3,0,2,NO
2,0,2,3,25,0,3,16,3,33,3,NO
2,0,0,3,3,0,3,14,2,0,4,YES
0,0,1,43,43,0,43,133,2,0,43,NO
6,0,7,12,12,8,4,167,1,78,26,YES
0,0,1,7,7,1,5,45,1,14,12,NO
1,0,3,16,16,5,5,68,1,72,18,NO
6,0,3,3,3,1,2,102,1,55,12,NO
3,1,8,4,4,0,3,68,1,68,6,NO
3,0,0,12,12,3,8,160,1,0,12,NO
3,0,0,6,6,3,0,75,1,0,13,NO
25,0,0,0,1,0,1,42,1,0,1,NO
25,0,2,9,9,0,9,74,1,66,11,YES
8,0,4,63,63,1,62,282,1,92,72,YES
49,0,1,3,5,4,1,66,1,60,6,YES
4,0,2,45,97,1,42,181,2,95,47,YES
2,0,5,13,14,7,7,139,1,78,33,NO
107,0,2,4,6,5,1,188,1,61,7,NO
13,0,0,2,24,0,2,34,3,0,3,NO
11,0,0,2,24,0,2,36,3,0,4,NO
5,0,2,17,69,0,16,77,2,67,18,NO
15,0,4,6,28,1,2,91,3,75,8,YES
11,0,0,2,24,0,2,30,3,0,2,NO
16,0,0,2,24,0,2,46,3,0,5,NO
8,0,1,9,92,0,7,78,4,77,12,NO
65,0,2,2,4,0,3,141,1,66,6,YES
16,0,2,10,32,8,2,384,3,87,42,NO
1,0,1,2,2,0,2,12,1,0,2,YES
14,0,1,10,10,7,3,231,1,80,35,YES
0,0,0,3,14,0,2,11,2,0,3,NO
1,0,3,4,4,0,2,82,2,16,17,NO
4,0,4,4,4,0,2,97,2,6,18,NO
5,0,3,15,15,0,9,318,1,64,61,NO
1,0,2,4,4,0,2,52,2,12,13,NO
2,0,3,11,11,0,10,112,1,54,25,NO
11,1,4,20,20,0,10,340,1,48,70,NO
1,0,3,21,23,1,19,286,1,56,61,NO
4,0,1,20,20,0,19,78,1,40,20,NO
0,0,5,7,7,0,0,32,1,68,7,NO
1,0,9,56,57,2,54,478,1,88,119,NO
2,1,1,7,7,0,5,55,1,14,12,NO
0,2,4,13,14,1,12,86,2,76,21,NO
0,0,0,2,16,0,2,9,3,0,2,NO
5,0,0,0,3,0,3,32,1,0,6,NO
4,0,0,0,27,0,0,264,1,0,60,NO
0,0,3,5,19,0,4,40,3,40,8,NO
1,1,2,11,11,0,8,171,1,59,42,NO
3,0,1,2,2,0,2,18,1,0,2,NO
0,0,0,1,1,0,1,21,2,0,3,NO
1,0,0,0,1,0,0,26,1,0,1,NO
9,0,0,4,4,2,2,74,1,0,14,YES
11,0,6,14,15,11,4,379,2,88,53,YES
2,0,0,3,4,0,0,19,1,0,4,NO
3,0,0,2,2,0,2,63,1,0,2,NO
5,0,0,0,1,0,1,8,1,0,1,NO
5,0,0,2,24,0,2,11,3,0,2,NO
16,0,6,14,15,11,4,113,1,84,26,YES
6,0,1,2,24,0,2,14,3,50,3,NO
6,0,1,2,24,0,2,14,3,50,3,NO
4,0,0,2,24,0,2,11,3,0,2,NO
8,0,2,8,27,3,3,83,3,43,14,NO
1,0,0,0,2,0,2,8,1,0,2,NO
19,0,0,5,11,0,4,81,2,0,17,YES
17,0,0,9,9,3,6,50,1,0,13,YES
2,0,0,3,3,1,2,30,1,0,3,NO
7,0,5,11,11,3,8,129,1,72,23,NO
3,0,0,3,3,1,2,37,1,0,3,NO
7,0,1,3,30,0,2,23,4,33,4,NO
5,0,1,2,24,0,2,14,3,0,2,NO
9,0,1,4,26,1,3,33,3,75,5,YES
2,0,0,1,20,0,0,6,3,0,1,NO
3,0,2,5,5,0,3,27,1,30,7,NO
1,0,0,2,29,0,1,10,3,0,2,NO
13,0,0,14,45,0,5,142,2,0,29,NO
20,0,0,5,12,2,4,86,2,0,17,YES
5,0,4,5,5,1,3,89,2,64,9,NO
8,0,0,0,1,0,1,49,1,0,3,NO
1,0,1,2,3,0,3,46,1,33,4,YES
1,0,0,2,29,0,1,10,3,0,2,NO
9,0,2,9,10,4,6,95,1,76,23,NO
1,0,1,2,24,0,2,12,3,0,2,NO
1,0,1,2,24,0,2,12,3,0,2,NO
2,0,1,2,24,0,2,15,3,0,3,NO
2,0,0,3,3,1,2,17,1,0,3,NO
1,0,2,10,10,3,7,51,2,70,13,NO
2,0,3,6,6,2,4,35,2,61,6,NO
0,0,0,1,1,0,1,9,2,0,1,NO
0,0,2,6,6,0,6,23,1,41,6,NO
0,0,2,3,3,0,3,14,1,33,3,NO
13,0,1,16,47,7,5,140,2,87,22,NO
6,0,0,1,1,0,1,19,1,0,2,NO
4,0,0,2,2,0,2,18,1,0,2,NO
21,0,2,18,21,14,7,175,2,87,37,YES
9,0,4,10,13,10,1,192,2,88,19,NO
3,0,0,3,3,2,1,33,2,0,7,NO
3,0,8,12,12,1,10,107,2,77,24,NO
2,0,1,3,25,0,3,15,3,66,4,NO
7,0,2,6,8,5,2,98,2,75,18,NO
7,0,1,10,11,9,2,234,2,81,14,YES
4,0,2,11,77,4,9,127,2,69,33,NO
0,0,0,0,0,0,0,2,1,0,0,NO
1,0,2,1,1,0,0,8,1,0,1,NO
1,0,2,8,11,2,3,130,1,59,26,NO
1,0,0,7,7,1,6,64,1,0,7,NO
0,0,4,5,5,1,4,39,1,50,9,NO
14,0,0,33,34,12,22,359,1,0,51,NO
0,0,0,1,1,0,1,5,2,0,1,YES
4,0,3,4,4,0,4,23,1,50,8,NO
7,0,0,4,4,1,3,31,1,0,9,NO
3,0,5,12,13,3,10,113,1,78,29,NO
5,0,0,4,4,1,3,20,1,0,4,NO
3,0,3,9,9,1,8,40,1,55,13,NO
10,0,2,4,4,1,1,56,1,50,7,YES
12,0,3,6,29,1,6,91,3,47,14,NO
0,0,0,3,3,0,3,12,2,0,3,NO
7,0,0,2,24,0,2,20,3,0,3,NO
6,0,1,3,30,0,2,32,4,33,5,NO
1,0,2,4,4,0,4,38,1,25,12,NO
14,0,3,8,24,1,4,105,2,66,18,NO
8,0,3,14,14,0,14,74,1,90,19,YES
8,0,1,6,9,2,0,65,1,55,20,NO
4,0,0,0,11,2,5,53,1,0,15,NO
4,0,1,9,9,3,6,45,1,88,11,NO
23,0,0,0,19,7,12,153,1,0,38,NO
15,0,6,19,19,1,16,174,2,86,36,YES
17,0,8,12,16,11,4,195,1,78,28,NO
15,0,6,17,19,9,7,206,1,83,37,YES
1,0,4,11,11,5,2,74,2,79,16,NO
1,0,0,1,26,1,1,8,4,0,2,NO
1,0,0,22,22,4,18,178,2,0,38,NO
0,0,0,3,3,0,0,33,2,0,3,NO
1,0,1,2,2,0,0,11,2,0,2,NO
3,0,0,0,9,0,9,29,1,0,9,NO
6,0,2,11,11,2,7,73,1,40,26,NO
14,0,1,38,47,6,31,339,2,95,72,NO
8,0,1,12,12,3,9,59,1,58,19,NO
7,0,2,4,4,0,3,22,2,50,6,NO
5,0,3,5,5,1,4,33,1,53,8,NO
7,0,2,3,3,0,3,17,2,16,3,NO
10,0,0,33,41,5,27,119,2,0,38,YES
38,0,1,50,50,6,44,272,1,62,62,YES
0,0,0,3,6,0,3,12,3,0,3,NO
5,6,2,25,27,1,26,196,2,55,60,NO
1,0,1,6,33,0,6,29,3,33,6,NO
4,1,1,7,35,1,7,33,3,37,9,NO
4,0,0,1,28,0,1,5,3,0,1,NO
2,0,0,1,36,0,1,5,4,0,1,NO
0,0,1,6,33,0,6,29,3,33,7,NO
3,0,0,1,28,0,1,5,3,0,1,NO
8,0,1,5,12,1,4,52,2,40,13,NO
7,0,0,12,19,1,10,48,2,0,12,NO
7,0,0,15,22,5,9,86,2,0,29,NO
4,0,1,2,11,0,1,11,2,0,2,NO
5,0,0,18,25,1,16,56,2,0,18,YES
8,0,0,19,26,2,16,135,2,0,33,NO
13,0,0,17,24,4,12,121,2,0,34,NO
6,0,2,13,17,4,8,84,1,55,19,YES
24,0,0,33,40,4,29,179,2,0,45,YES
80,0,0,160,167,17,143,848,2,0,196,YES
22,0,0,35,43,2,33,150,2,0,47,NO
4,0,0,4,11,0,3,20,2,0,5,NO
6,0,0,0,3,0,2,22,1,0,3,NO
18,0,0,0,19,3,4,231,1,0,39,NO
6,0,0,12,19,2,9,72,2,0,19,NO
23,0,4,79,80,11,69,689,1,69,100,NO
8,2,3,9,9,0,8,55,1,54,9,NO
8,0,0,0,4,1,3,14,1,0,4,NO
4,0,2,2,11,0,1,13,2,0,2,NO
5,0,1,9,11,5,5,82,2,81,18,YES
6,0,5,13,13,0,11,109,1,67,19,YES
6,0,4,10,10,7,2,90,1,77,18,NO
6,0,2,13,13,0,13,90,1,38,27,NO
10,0,0,2,24,0,2,114,3,0,4,NO
17,0,11,8,8,5,1,326,2,71,19,YES
3,0,3,7,23,1,6,47,3,61,10,YES
1,0,2,6,23,0,6,34,2,42,8,NO
15,0,0,12,14,11,1,109,1,92,27,NO
3,0,1,5,6,0,6,75,1,33,6,NO
17,0,0,0,16,3,10,113,1,90,29,NO
17,0,4,25,28,21,3,285,1,91,56,NO
13,0,4,16,16,12,4,136,1,85,32,YES
3,0,0,0,6,0,6,46,1,0,11,NO
6,0,1,12,15,2,10,123,1,82,31,NO
3,0,4,2,3,0,3,64,2,33,9,NO
36,0,1,12,12,10,2,218,1,91,20,YES
0,0,5,6,6,2,4,91,1,50,25,NO
1,0,0,3,3,1,2,25,2,0,6,NO
4,0,0,0,10,2,4,60,1,80,12,NO
5,0,4,5,5,0,5,24,1,60,5,NO
4,0,3,4,4,2,1,37,1,50,6,NO
7,0,0,4,4,1,3,144,1,25,18,NO
1,0,3,4,4,0,4,43,1,25,13,NO
2,0,4,10,10,0,2,62,1,65,14,NO
2,0,0,3,3,1,2,22,1,0,3,NO
9,0,0,3,6,0,2,49,2,0,8,NO
9,0,0,2,5,0,1,38,2,0,6,NO
2,2,0,3,3,1,0,48,1,0,4,YES
0,0,0,4,4,3,1,87,2,0,14,NO
5,0,0,5,5,0,5,174,1,0,6,NO
7,0,0,4,35,0,2,118,2,100,4,YES
11,0,2,7,7,0,6,95,2,50,10,NO
7,0,0,3,25,0,3,40,3,0,10,NO
5,0,10,28,29,17,10,259,2,88,52,NO
5,0,0,7,7,1,6,57,1,0,10,NO
