CountClassCoupled,CountClassDerived,CountDeclInstanceVariable,CountDeclInstanceMethod,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
0,14,1,8,16,0,7,27,2,50,7,NO
2,0,1,6,6,0,6,36,1,66,10,NO
5,0,1,4,26,1,3,85,3,50,13,NO
0,0,1,5,21,0,5,27,3,0,5,NO
0,0,2,8,8,0,8,33,1,75,8,NO
0,0,1,5,21,0,5,26,3,0,5,NO
1,0,1,6,6,0,6,28,1,66,7,NO
0,0,0,3,3,0,3,32,2,0,7,NO
4,0,3,6,6,0,6,47,1,61,13,NO
4,0,7,24,24,10,12,227,2,81,51,NO
14,2,3,54,56,1,52,264,1,93,72,NO
2,0,1,6,28,0,6,29,3,33,6,NO
2,0,3,6,28,0,6,34,3,55,6,NO
1,0,3,10,15,1,14,93,1,76,19,NO
10,3,5,16,16,1,13,100,1,75,21,NO
8,0,1,14,19,2,17,103,1,66,23,NO
17,0,6,32,35,12,18,419,1,90,88,NO
0,0,1,2,2,0,2,16,1,0,4,NO
6,214,3,22,22,0,19,123,2,83,33,NO
0,1,0,7,7,0,7,16,1,0,7,NO
4,54,0,5,27,0,3,20,3,0,5,NO
1,0,1,2,2,0,2,11,1,0,2,NO
0,0,3,4,4,1,3,42,1,41,9,NO
7,0,2,4,7,0,4,70,1,71,10,YES
1,0,1,4,4,0,2,32,2,25,5,NO
1,0,3,3,4,1,1,42,1,50,6,NO
3,1,1,3,3,0,2,56,2,66,9,NO
0,0,1,4,4,0,4,14,1,25,4,NO
6,0,9,49,50,0,50,293,2,86,66,NO
4,1,28,55,56,1,51,629,2,92,122,NO
1,0,0,2,3,0,2,28,3,0,5,NO
3,0,10,18,19,1,18,189,2,83,40,NO
0,1,7,22,23,0,20,183,2,78,37,YES
1,0,3,5,5,0,3,55,2,46,5,NO
2,0,3,6,7,1,6,84,2,57,7,NO
1,0,4,9,33,0,10,53,3,90,11,NO
2,0,6,8,8,0,8,81,1,62,15,NO
1,0,0,0,1,0,1,21,1,0,1,NO
1,0,11,12,12,9,3,167,2,84,24,NO
11,0,6,18,18,10,8,284,2,84,63,NO
1,0,1,2,3,0,3,59,2,33,16,YES
1,0,0,8,9,0,8,85,2,77,15,NO
3,0,1,12,12,2,10,88,1,33,25,NO
4,0,1,19,19,1,18,111,1,5,19,NO
4,2,0,4,5,0,4,54,2,80,8,NO
3,0,0,0,2,0,2,178,2,0,7,NO
1,0,0,2,2,1,1,26,2,0,7,NO
0,0,0,1,7,0,2,23,3,25,3,NO
4,0,10,26,26,15,11,235,2,89,53,NO
3,0,1,5,5,0,2,32,2,60,6,NO
3,0,1,5,5,0,2,32,2,60,6,NO
0,0,0,3,3,0,3,42,2,0,8,NO
2,0,1,6,6,0,5,34,2,66,8,NO
1,0,0,1,1,0,1,15,1,0,3,NO
0,0,1,8,8,0,7,35,2,75,8,NO
0,0,0,2,2,0,2,23,2,0,5,NO
5,0,2,10,10,0,10,71,1,35,20,NO
0,0,2,4,4,0,4,19,1,37,4,NO
7,0,9,6,7,6,1,164,1,66,19,NO
1,0,3,5,5,1,4,67,2,73,12,NO
1,0,2,2,2,0,2,21,1,0,4,NO
5,0,2,4,4,0,4,70,1,50,9,NO
3,1,4,6,6,1,5,173,2,79,12,NO
6,0,7,19,26,9,10,368,3,85,63,NO
1,0,1,3,3,0,3,14,2,33,3,NO
4,0,3,11,13,3,10,77,1,80,19,NO
5,0,1,3,3,1,2,38,2,33,4,NO
1,0,1,7,9,1,7,110,1,55,24,NO
6,0,1,2,3,0,2,58,2,72,10,NO
9,0,1,0,56,3,53,611,1,100,111,YES
1,0,0,1,1,0,1,7,2,0,1,NO
2,0,0,1,1,0,1,6,1,0,2,NO
0,0,6,11,11,0,11,73,1,74,14,NO
0,0,2,6,6,1,5,23,1,41,6,NO
0,0,3,5,5,0,5,40,1,66,8,NO
0,0,5,13,13,1,12,101,2,78,29,NO
5,0,2,10,10,3,7,94,1,80,23,NO
0,1,0,1,1,0,1,7,2,0,1,NO
4,1,1,15,15,0,12,196,1,26,33,NO
0,0,0,1,1,0,1,6,2,0,1,NO
2,0,0,0,3,0,2,28,1,0,8,NO
5,2,0,3,3,0,2,14,1,0,4,NO
5,0,2,3,3,0,3,25,1,33,5,NO
6,0,0,5,5,0,5,59,1,0,5,NO
4,0,1,3,3,0,3,16,1,33,4,NO
5,0,0,1,1,0,1,12,1,0,1,NO
9,1,1,4,4,0,3,41,1,50,10,NO
6,0,0,2,2,0,2,32,1,0,2,NO
3,0,0,2,2,0,2,16,1,0,6,NO
5,0,0,2,2,0,2,32,1,0,2,NO
3,0,1,3,3,0,3,14,1,33,3,NO
3,0,0,1,1,0,1,15,1,0,1,NO
2,0,1,3,3,0,3,24,1,0,6,NO
3,0,0,4,4,0,4,39,1,0,4,NO
2,0,0,6,6,0,6,25,1,0,6,NO
1,0,0,1,1,0,1,5,2,0,1,NO
2,0,1,3,3,0,3,15,1,33,3,NO
2,0,0,1,1,0,1,8,1,0,1,NO
4,0,1,3,5,1,2,20,2,33,5,NO
1,2,0,3,3,0,3,11,1,0,3,NO
1,1,0,2,2,0,2,9,1,0,2,NO
1,0,0,2,2,0,2,8,1,0,2,NO
1,0,5,33,33,2,31,194,1,76,69,NO
5,0,1,18,18,1,17,149,1,83,37,NO
4,0,3,11,11,0,11,86,1,27,11,NO
1,0,1,5,5,0,5,23,1,40,7,YES
3,0,1,2,2,1,1,24,1,0,6,YES
2,0,0,2,2,0,2,27,1,0,2,YES
1,0,1,5,5,0,5,20,1,0,7,NO
3,0,0,4,4,0,4,41,1,0,4,NO
3,0,0,29,29,1,28,238,1,0,30,NO
1,0,0,2,2,0,2,9,1,0,2,NO
0,0,0,6,6,0,6,25,1,0,6,NO
4,0,2,8,8,0,8,48,1,31,15,NO
5,0,0,8,8,0,8,75,1,0,8,NO
4,0,4,23,24,11,13,152,1,73,44,NO
5,0,5,19,19,0,19,218,1,72,19,NO
1,0,0,2,2,0,2,8,1,0,2,NO
3,0,1,9,9,1,8,45,1,66,13,NO
4,0,0,4,4,0,4,50,1,0,4,NO
4,0,2,0,0,0,0,18,1,0,0,YES
6,0,1,3,3,0,3,33,1,33,6,NO
5,0,1,4,4,1,3,28,1,25,6,NO
5,0,0,3,3,1,2,24,1,0,6,NO
4,0,0,3,3,0,3,32,1,0,3,NO
4,0,1,4,4,1,3,31,1,50,4,YES
