CBO,NOC,WMC,RFC,SLOC,LCOM,DIT,Change
3,0,2,51,9,0,5,no
3,0,2,51,9,0,5,no
3,0,2,48,9,0,4,yes
3,0,2,48,9,0,4,yes
12,0,7,56,64,71,3,yes
6,2,6,49,44,66,2,yes
6,4,6,49,46,0,2,yes
16,0,9,52,98,76,2,yes
4,2,4,53,21,0,3,no
13,11,15,43,105,80,1,yes
0,0,0,13,2,0,0,no
20,3,15,28,164,93,0,yes
8,4,12,40,62,16,1,yes
4,7,2,30,10,0,1,yes
18,0,15,58,149,83,2,yes
14,0,15,55,105,57,2,yes
18,0,5,18,82,60,0,yes
8,3,11,41,81,63,2,no
13,0,4,17,73,0,0,yes
28,0,15,58,259,73,2,yes
3,2,4,58,15,0,4,no
8,0,4,61,42,75,5,yes
8,0,4,61,42,0,5,yes
9,0,6,63,58,50,5,yes
8,0,4,61,40,0,4,yes
8,0,4,61,40,0,4,yes
10,0,6,63,64,50,5,yes
11,0,15,28,62,0,0,no
1,0,1,14,17,0,0,no
7,3,8,57,52,75,3,no
6,0,4,61,37,0,5,yes
6,0,4,61,41,0,4,yes
6,0,4,61,37,0,4,yes
6,0,4,61,41,0,5,yes
3,2,4,52,15,0,3,no
3,0,4,54,15,0,3,no
7,1,7,50,43,0,2,yes
10,0,7,61,40,85,4,yes
7,0,5,59,33,80,4,yes
14,0,8,62,64,65,5,yes
6,1,7,83,26,0,5,no
12,0,8,84,46,0,5,yes
3,0,2,56,10,50,4,no
13,0,7,90,49,0,6,yes
13,0,8,62,65,87,4,no
3,1,2,54,9,0,4,no
13,0,6,60,48,83,4,yes
12,0,10,77,53,96,5,yes
6,0,5,63,23,70,5,yes
6,0,5,63,23,70,5,yes
15,0,10,64,78,90,4,yes
5,4,4,71,25,50,5,yes
11,0,12,83,63,93,6,yes
8,0,6,77,27,83,6,yes
5,6,4,71,15,0,5,no
9,0,9,63,55,88,4,yes
9,0,5,59,35,80,4,yes
7,0,3,16,24,0,0,yes
6,3,5,76,27,80,6,no
9,0,4,80,21,100,7,no
8,0,7,83,34,0,5,yes
12,0,8,84,46,0,5,yes
3,0,2,56,10,50,4,no
5,3,5,48,23,0,2,yes
7,0,5,59,30,80,4,yes
10,0,12,66,65,91,4,no
9,0,4,80,21,100,7,no
9,0,6,60,41,83,4,yes
6,0,7,61,35,85,4,yes
8,0,11,65,88,90,4,yes
10,0,8,62,47,87,4,yes
8,0,5,82,32,80,7,no
10,0,8,62,46,79,4,yes
9,1,6,77,43,83,6,no
10,0,4,80,27,75,7,no
8,0,6,77,24,83,6,yes
7,0,5,76,20,80,6,no
8,0,6,77,24,83,6,yes
3,2,5,59,60,0,4,no
10,0,9,63,63,81,4,yes
10,0,8,62,63,81,4,yes
15,0,12,71,107,85,5,yes
9,0,6,60,44,83,4,yes
21,3,22,76,168,84,4,yes
20,2,22,76,196,77,4,yes
3,0,2,56,10,50,4,no
15,0,5,81,44,80,5,yes
12,0,11,65,97,90,4,yes
5,36,6,54,29,83,3,yes
12,3,15,67,89,90,4,no
7,0,5,59,29,80,4,yes
8,0,5,59,29,80,4,yes
9,0,5,59,34,80,4,yes
7,0,5,59,29,80,4,yes
9,0,6,77,27,83,6,yes
9,0,6,77,27,83,6,yes
15,0,15,74,128,85,5,yes
13,0,10,81,87,90,6,yes
12,0,6,60,43,83,4,yes
12,0,11,65,75,72,4,yes
13,0,11,65,73,69,4,yes
18,0,11,65,107,72,4,yes
10,0,8,62,52,81,4,yes
4,0,2,56,10,50,4,no
6,0,7,61,35,85,4,yes
10,0,4,17,30,0,0,yes
23,0,15,55,200,74,2,yes
13,0,11,51,72,45,2,yes
11,0,13,54,72,48,3,no
17,0,23,66,216,90,2,yes
10,0,4,17,30,0,0,yes
19,0,34,64,236,89,2,yes
5,0,4,61,27,0,5,yes
5,0,4,61,31,0,4,yes
5,0,4,61,30,0,4,yes
6,0,4,61,36,0,5,yes
7,0,7,56,44,0,3,yes
7,3,8,57,52,75,3,no
11,0,7,47,50,0,2,yes
8,0,10,23,61,33,0,no
6,0,5,54,30,0,3,no
18,0,14,55,98,55,3,yes
30,0,28,41,370,88,0,yes
11,0,15,56,93,73,3,yes
3,0,3,33,14,100,2,yes
17,0,14,57,156,75,2,yes
45,0,31,44,217,0,0,yes
9,0,6,49,48,0,2,yes
6,5,4,57,21,100,4,no
11,0,4,61,41,0,5,yes
10,0,4,61,45,0,5,yes
26,2,44,57,178,0,0,yes
3,2,1,59,4,0,2,yes
3,1,1,59,4,0,2,yes
3,1,1,59,4,0,2,yes
4,5,1,58,24,0,1,yes
3,3,1,58,6,0,1,yes
15,3,12,25,75,58,1,no
15,0,11,24,112,70,1,no
6,0,5,40,77,80,3,no
1,0,5,18,43,57,0,no
6,0,5,40,34,80,3,no
9,2,10,35,164,80,2,no
8,0,12,26,80,55,1,yes
2,0,1,14,12,0,0,no
9,0,9,34,95,75,2,no
4,0,8,22,38,62,1,no
3,0,4,39,20,0,3,no
3,0,4,39,18,0,3,no
8,2,10,35,72,80,2,yes
23,0,31,44,422,84,1,yes
8,0,5,18,449,64,0,yes
17,0,4,17,320,56,1,yes
4,0,3,16,15,0,0,no
5,0,3,16,16,0,0,no
5,0,4,17,23,0,0,no
2,0,0,13,18,0,0,no
14,0,8,75,122,25,2,no
18,0,10,77,279,30,2,yes
5,0,1,14,15,0,0,no
27,1,7,20,153,71,0,no
17,0,3,23,84,50,1,no
17,0,7,20,140,61,1,no
14,0,32,45,518,86,0,no
4,1,8,21,31,81,0,no
2,0,2,15,7,0,1,no
19,0,14,27,109,80,0,no
4,0,4,17,29,41,0,no
3,0,5,18,24,65,0,no
6,0,2,15,16,0,0,no
25,2,15,36,208,81,1,no
8,1,7,23,28,57,1,no
6,0,7,20,152,67,0,no
10,0,14,27,92,71,1,no
9,0,3,16,34,44,0,yes
7,0,2,15,21,0,0,no
2,0,2,15,51,0,0,no
7,0,10,23,48,44,0,no
3,0,10,41,63,66,1,no
20,0,15,31,210,86,1,no
2,0,1,14,8,0,0,no
14,0,4,40,42,0,2,no
16,0,10,23,82,78,0,no
5,0,3,16,26,0,0,no
18,0,5,18,142,71,0,no
3,0,2,15,10,0,0,no
8,0,1,14,32,0,0,no
10,0,5,18,144,66,1,no
2,0,1,14,8,0,0,no
4,0,1,14,15,0,0,no
1,0,5,18,49,40,0,no
2,0,2,15,16,0,1,no
5,0,3,16,28,0,1,no
1,0,2,15,9,0,1,no
7,0,9,22,115,70,0,no
1,0,1,14,16,0,0,no
3,0,9,22,36,59,0,no
21,0,22,35,130,87,0,no
4,0,1,14,13,0,0,no
10,0,3,16,111,0,0,no
4,1,18,31,100,77,0,no
7,0,9,22,54,77,0,no
12,0,7,20,139,75,0,no
2,0,2,15,37,0,0,no
8,0,15,28,70,43,0,no
7,0,3,16,73,55,0,no
2,2,4,17,13,0,1,no
1,0,2,19,9,0,2,no
4,0,3,20,14,33,2,no
29,0,18,31,336,86,1,no
6,0,6,19,37,50,1,no
1,0,1,14,6,0,1,yes
7,0,5,18,38,80,0,no
3,0,3,16,32,0,1,yes
15,2,7,20,61,66,0,no
1,0,1,49,4,0,0,no
4,0,2,22,9,100,1,no
0,3,2,15,8,0,0,no
9,0,6,19,28,61,0,no
3,0,2,15,27,0,0,no
9,0,3,16,51,0,0,no
4,0,7,20,52,67,0,no
8,0,3,16,61,66,0,no
9,0,5,92,33,19,0,no
3,0,2,22,8,0,1,no
2,0,4,17,16,0,0,no
7,0,18,31,94,55,0,no
14,0,5,18,80,60,0,no
4,0,2,15,13,25,0,no
8,0,5,18,55,72,0,no
3,0,2,15,20,0,1,no
6,0,3,16,20,50,0,yes
3,0,6,19,27,0,0,no
2,0,3,16,12,0,1,no
3,0,12,42,53,100,1,no
3,0,13,26,62,30,1,no
18,0,10,23,149,90,0,yes
3,0,4,17,35,25,0,no
6,1,17,30,53,0,0,no
6,0,3,16,24,0,0,no
3,0,9,22,46,0,0,no
9,0,23,36,121,83,1,no
7,0,3,16,31,33,0,no
4,0,3,16,14,50,0,no
18,0,12,25,99,80,0,no
6,0,2,15,17,50,0,no
5,1,5,18,35,66,0,no
23,0,8,21,110,76,0,no
4,0,2,15,15,0,0,no
9,1,5,18,32,46,0,no
9,0,5,18,117,72,0,no
25,0,5,18,110,66,0,no
5,0,1,14,23,0,0,no
22,0,5,18,170,46,0,no
15,0,2,15,57,33,0,no
15,0,2,15,56,33,0,no
25,0,6,19,191,77,0,no
5,0,1,14,15,0,1,no
6,0,2,20,14,0,1,no
2,4,3,16,12,0,0,no
52,0,43,56,937,86,0,yes
5,0,7,29,32,14,1,no
5,0,7,29,35,14,1,yes
7,2,9,22,34,55,0,no
29,0,29,98,200,89,2,yes
12,0,4,17,19,25,0,no
10,0,4,17,25,0,0,no
15,0,3,39,47,0,2,yes
32,0,7,23,114,71,1,yes
36,0,5,23,150,50,1,yes
31,0,1,70,90,0,2,yes
3,1,2,15,8,0,0,no
64,2,23,44,489,89,1,yes
0,0,4,17,19,50,0,yes
15,0,6,19,119,64,0,no
16,0,2,15,18,0,0,no
6,0,6,19,50,50,0,yes
8,0,10,23,95,56,0,no
14,0,2,15,98,25,0,no
4,6,5,18,21,0,0,no
9,0,8,21,113,62,0,no
6,0,4,17,51,37,0,no
29,2,8,21,228,64,0,yes
4,0,5,18,35,60,0,no
10,0,6,19,38,33,0,yes
11,0,5,23,37,26,1,yes
13,1,6,19,51,38,0,yes
3,0,3,25,13,0,2,no
5,1,4,22,26,25,1,no
4,2,5,18,38,60,0,yes
12,0,8,44,311,64,0,yes
6,0,5,18,63,40,0,no
5,0,7,20,42,57,0,no
8,2,7,20,71,76,0,no
13,0,1,14,50,0,0,no
6,0,5,25,25,40,1,no
9,0,6,26,60,46,1,no
5,0,4,31,23,0,1,no
17,1,14,27,173,75,0,no
2,0,2,15,9,0,0,no
1,1,3,16,15,33,0,no
20,0,3,47,51,77,2,yes
9,0,3,18,25,0,1,yes
8,0,5,18,26,19,0,yes
6,0,4,22,27,0,1,no
20,0,3,47,47,77,2,yes
19,0,6,19,212,33,0,no
8,0,6,19,38,66,0,no
