CountClassCoupled,CountClassDerived,CountDeclInstanceMethod,CountDeclInstanceVariable,CountDeclMethodAll,CountDeclMethodPrivate,CountDeclMethodPublic,CountLineCode,MaxInheritanceTree,PercentLackOfCohesion,SumCyclomatic,ALTER
1,0,0,0,22,0,22,118,1,0,27,NO
1,0,2,1,4,0,3,28,1,50,7,NO
3,0,0,0,6,0,6,90,1,0,25,NO
1,0,2,1,4,0,3,32,1,50,9,NO
2,1,8,1,8,2,6,59,1,12,15,NO
1,0,1,0,1,0,1,5,1,0,1,NO
4,0,0,0,36,6,30,471,1,0,151,NO
1,5,11,1,11,0,11,83,2,36,11,NO
3,0,0,0,5,0,5,44,1,0,14,NO
3,0,0,0,14,0,14,57,1,0,19,NO
1,0,0,0,8,0,8,27,1,0,12,NO
0,0,1,0,3,1,2,29,1,0,19,NO
8,0,1,0,12,4,7,90,1,75,25,NO
3,2,18,7,21,5,16,181,1,76,55,NO
2,0,0,0,8,1,7,82,1,0,26,NO
3,0,0,0,9,2,7,87,1,0,19,NO
0,0,0,0,25,1,24,209,1,0,67,NO
0,0,0,0,4,0,4,70,1,0,24,NO
1,0,0,0,3,0,3,34,1,0,7,NO
5,0,0,0,15,0,15,322,1,0,38,NO
2,0,0,0,30,0,30,276,1,0,72,NO
0,0,10,0,21,0,10,33,3,0,10,NO
2,0,0,1,10,0,10,117,1,95,33,NO
6,1,90,3,98,4,92,472,1,97,139,NO
6,0,0,0,25,8,17,440,1,0,116,NO
8,4,23,8,23,2,21,169,1,82,59,NO
5,0,1,2,6,1,4,113,1,94,27,NO
2,0,12,3,13,2,11,60,1,64,17,NO
2,0,8,0,10,2,8,112,1,0,27,YES
1,0,1,0,3,0,1,19,2,0,4,NO
17,0,16,9,18,9,9,305,1,88,67,YES
9,0,1,0,12,1,11,58,1,41,17,NO
5,0,0,0,4,1,3,93,1,0,21,NO
9,0,4,2,8,0,7,95,1,62,14,NO
0,0,0,0,4,0,4,35,1,0,9,NO
0,0,0,0,5,2,3,83,1,0,29,NO
3,0,3,2,3,0,3,22,1,50,6,NO
0,0,0,0,0,0,0,3,1,0,0,YES
0,0,1,0,1,0,0,23,1,0,1,NO
0,0,8,4,8,1,7,54,1,62,13,NO
1,0,0,0,9,1,8,73,1,0,26,NO
13,0,1,0,17,0,16,71,1,0,22,NO
14,0,1,0,28,12,16,375,1,92,91,NO
14,0,1,0,6,3,3,66,1,0,15,NO
3,0,2,0,2,0,2,9,1,0,2,NO
1,0,21,1,22,1,21,75,1,27,27,NO
0,0,0,0,1,0,1,22,1,0,3,NO
3,0,0,0,6,1,5,78,1,0,7,NO
1,0,26,1,27,1,26,86,1,25,30,NO
0,0,3,1,4,1,3,19,1,75,6,NO
3,0,59,4,60,1,58,250,1,75,92,NO
1,0,35,1,36,1,35,106,1,55,42,NO
3,0,59,4,60,1,58,254,1,75,93,NO
1,0,35,1,36,1,35,106,1,55,42,NO
0,0,4,1,5,1,4,57,1,60,15,NO
2,0,6,4,8,2,6,75,2,53,24,NO
1,0,3,1,3,0,3,19,1,33,5,NO
6,0,0,1,13,3,10,140,1,100,43,YES
4,12,5,2,11,0,5,50,1,72,19,NO
2,0,6,2,17,0,4,26,2,58,8,NO
4,0,27,8,38,13,14,326,2,66,113,NO
2,0,14,6,25,0,14,66,2,78,21,NO
3,0,28,13,39,0,28,108,2,89,30,NO
2,0,6,2,17,0,6,26,2,50,8,NO
3,0,4,1,15,0,4,23,2,25,7,NO
3,0,2,0,13,0,2,15,2,0,5,NO
4,0,12,5,23,0,12,84,2,75,26,NO
3,0,5,2,16,0,5,26,2,50,9,NO
3,0,6,2,17,0,6,30,2,50,9,NO
3,0,8,3,19,0,8,37,2,62,11,NO
3,0,4,1,15,0,4,25,2,25,8,NO
0,0,10,0,21,0,10,48,3,0,10,NO
2,0,3,2,17,0,3,26,2,16,7,NO
7,0,13,4,13,0,12,77,1,69,20,NO
10,0,7,3,11,1,1,81,2,57,15,NO
7,0,2,4,2,0,0,15,1,50,3,NO
3,0,3,2,3,0,1,34,1,16,11,NO
2,4,4,1,4,0,1,23,1,0,8,NO
14,0,1,0,13,12,1,420,1,0,96,NO
5,0,4,1,8,0,1,24,2,50,6,NO
3,0,5,1,9,0,2,18,2,19,6,NO
6,0,4,1,8,0,1,23,2,25,6,NO
9,0,5,0,6,0,6,40,1,0,13,NO
11,0,4,3,4,1,1,142,2,58,17,NO
8,1,14,7,14,1,13,66,1,73,18,NO
2,0,13,1,13,0,6,45,1,61,13,NO
10,0,1,0,17,4,12,256,1,94,70,YES
1,0,10,5,12,2,10,85,2,70,26,NO
9,0,0,0,89,3,22,361,2,0,118,YES
0,0,4,4,4,0,2,28,2,37,8,NO
0,0,2,0,10,0,2,8,2,0,2,NO
1,0,5,1,7,1,6,32,2,28,10,NO
22,1,1,1,64,12,51,821,1,97,211,NO
0,0,3,0,14,0,3,11,2,0,3,NO
0,9,5,1,11,0,5,44,3,80,8,NO
0,0,8,2,14,0,4,42,3,62,9,NO
1,0,1,0,4,0,3,24,1,0,8,NO
0,0,5,1,16,0,1,19,4,0,5,NO
6,2,14,9,14,5,9,214,1,85,43,NO
2,0,3,2,3,0,3,14,1,33,3,NO
1,0,10,3,16,0,11,64,2,75,12,NO
0,1,5,1,5,0,5,19,1,40,6,NO
18,0,24,11,31,8,23,481,1,91,97,NO
13,0,3,2,4,1,3,80,1,50,17,NO
7,0,0,0,2,1,1,83,1,0,23,NO
0,0,5,4,5,0,3,33,1,44,8,NO
2,0,15,5,15,3,12,97,1,76,38,NO
3,0,7,2,7,1,6,54,1,28,19,NO
4,0,2,0,2,0,2,14,1,0,5,NO
0,0,0,0,0,0,0,3,1,0,0,YES
8,0,4,3,4,0,4,50,1,75,9,NO
1,0,5,1,5,0,5,22,1,0,7,NO
4,0,5,4,5,0,5,32,1,44,8,NO
1,0,5,1,5,0,5,22,1,0,7,NO
12,0,0,1,6,1,5,87,1,66,10,NO
8,0,1,0,29,4,24,341,1,0,143,NO
2,0,0,0,15,1,14,81,1,93,35,NO
0,0,0,0,1,0,1,8,1,0,2,NO
1,0,1,3,1,0,1,10,1,0,1,NO
0,0,6,2,6,0,6,27,1,16,8,NO
1,0,0,2,0,0,0,4,1,0,0,NO
20,0,0,0,13,2,11,166,1,92,41,NO
2,0,4,2,6,1,5,43,1,33,19,NO
15,0,1,0,10,2,7,111,1,70,35,NO
0,0,5,0,13,0,5,17,2,0,5,NO
2,0,7,1,22,1,7,35,2,25,15,NO
2,0,7,2,7,0,7,33,1,57,11,NO
2,1,13,3,13,1,12,44,1,71,16,NO
9,1,14,2,14,1,13,103,1,46,39,NO
2,0,10,5,10,0,10,44,1,56,12,NO
0,0,10,0,21,0,10,48,3,0,10,NO
1,0,3,0,3,0,3,15,1,0,3,NO
9,1,6,1,6,0,4,29,1,50,6,NO
10,1,8,1,8,0,7,47,1,12,9,NO
